continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,population,median_age,aged_65_older,aged_70_older,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hosp_patients,hosp_patients_per_million,weekly_icu_admissions
European Union,Andorra,3/3/2021,10948,40,24.71,112,2,0.29,141694.17,517.7,319.86,1449.56,25.89,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,3/14/2021,11266,38,32,113,1,0.14,145809.88,491.81,414.16,1462.5,12.94,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,3/24/2021,11638,47,39.71,114,1,0.14,150624.47,608.3,514,1475.44,12.94,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,3/27/2021,11809,77,46.86,115,1,0.29,152837.64,996.57,606.45,1488.38,12.94,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,4/2/2021,12115,62,54.71,116,1,0.29,156798.03,802.43,708.14,1501.33,12.94,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,4/3/2021,12174,59,52.14,117,1,0.29,157561.64,763.61,674.86,1514.27,12.94,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,4/7/2021,12363,35,50.43,119,2,0.57,160007.77,452.99,652.67,1540.15,25.89,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,4/8/2021,12409,46,50.86,120,1,0.71,160603.12,595.35,658.22,1553.1,12.94,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,4/12/2021,12581,36,42.14,121,1,0.57,162829.22,465.93,545.43,1566.04,12.94,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,4/16/2021,12712,71,36.57,123,2,0.43,164524.69,918.92,473.33,1591.92,25.89,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,4/24/2021,13024,17,36.14,124,1,0.14,168562.74,220.02,467.78,1604.87,12.94,77265,,,,109.14,7.97,29,37.8,,,
European Union,Andorra,4/28/2021,13148,27,33,125,1,0.29,170167.61,349.45,427.1,1617.81,12.94,77265,,,,109.14,7.97,29,37.8,,,
Asia,Asia,1/27/2020,2912,807,,82,26,,0.63,0.17,,0.02,0.01,4639847425,,,,,,,,,,
Asia,Asia,1/28/2020,5558,2646,714.57,131,49,16.29,1.2,0.57,0.15,0.03,0.01,4639847425,,,,,,,,,,
Asia,Asia,1/30/2020,8208,2065,1079.14,171,38,21.86,1.77,0.45,0.23,0.04,0.01,4639847425,,,,,,,,,,
Asia,Asia,1/31/2020,9889,1681,1278.86,213,42,26.71,2.13,0.36,0.28,0.05,0.01,4639847425,,,,,,,,,,
Asia,Asia,2/1/2020,11991,2102,1509,259,46,31,2.58,0.45,0.33,0.06,0.01,4639847425,,,,,,,,,,
Asia,Asia,2/3/2020,19827,3089,2416.43,426,64,49.14,4.27,0.67,0.52,0.09,0.01,4639847425,,,,,,,,,,
Asia,Asia,2/4/2020,23836,4009,2611.14,492,66,51.57,5.14,0.86,0.56,0.11,0.01,4639847425,,,,,,,,,,
Asia,Asia,2/26/2020,80059,799,732,2753,57,90.14,17.26,0.17,0.16,0.59,0.01,4639847425,,,,,,,,,,
Asia,Asia,2/27/2020,81151,1092,810.14,2791,38,78,17.49,0.24,0.18,0.6,0.01,4639847425,,,,,,,,,,
Asia,Asia,2/28/2020,82230,1079,877.43,2844,53,85.14,17.72,0.23,0.19,0.61,0.01,4639847425,,,,,,,,,,
Asia,Asia,2/29/2020,83720,1490,844.71,2904,60,64.29,18.04,0.32,0.18,0.63,0.01,4639847425,,,,,,,,,,
Asia,Asia,3/1/2020,85317,1597,1041,2952,48,69.86,18.39,0.34,0.22,0.64,0.01,4639847425,,,,,,,,,,
Asia,Asia,3/2/2020,86700,1383,1169,3017,65,56.86,18.69,0.3,0.25,0.65,0.01,4639847425,,,,,,,,,,
Asia,Asia,3/3/2020,88568,1868,1329.71,3061,44,52.14,19.09,0.4,0.29,0.66,0.01,4639847425,,,,,,,,,,
Asia,Asia,3/4/2020,89798,1230,1391.29,3122,61,52.71,19.35,0.27,0.3,0.67,0.01,4639847425,,,,,,,,,,
Asia,Asia,3/5/2020,91084,1286,1419,3169,47,54,19.63,0.28,0.31,0.68,0.01,4639847425,,,,,,,,,,
Asia,Asia,3/6/2020,93120,2036,1555.71,3223,54,54.14,20.07,0.44,0.34,0.7,0.01,4639847425,,,,,,,,,,
Asia,Asia,3/7/2020,94876,1756,1593.71,3275,52,53,20.45,0.38,0.34,0.71,0.01,4639847425,,,,,,,,,,
Asia,Asia,4/17/2020,358388,12770,11882,14093,1654,547.29,77.24,2.75,2.56,3.04,0.36,4639847425,,,,,,,,,,
Asia,Asia,6/4/2020,1263012,32311,29990.43,33123,582,563.57,272.21,6.96,6.46,7.14,0.13,4639847425,,,,,,,,,,
Asia,Asia,6/10/2020,1466581,36520,33697.14,37169,764,661.14,316.08,7.87,7.26,8.01,0.17,4639847425,,,,,,,,,,
Asia,Asia,6/12/2020,1537111,32688,34451.43,38721,726,707.14,331.29,7.05,7.43,8.35,0.16,4639847425,,,,,,,,,,
Asia,Asia,6/13/2020,1576027,38916,35092,39464,743,720,339.67,8.39,7.56,8.51,0.16,4639847425,,,,,,,,,,
Asia,Asia,6/14/2020,1620977,44950,36572.57,40338,874,750.86,349.36,9.69,7.88,8.69,0.19,4639847425,,,,,,,,,,
Asia,Asia,6/16/2020,1696773,38536,38101.71,43777,2529,1053.14,365.7,8.31,8.21,9.44,0.55,4639847425,,,,,,,,,,
Asia,Asia,6/17/2020,1737796,41023,38745,44646,869,1068.14,374.54,8.84,8.35,9.62,0.19,4639847425,,,,,,,,,,
Asia,Asia,6/18/2020,1778904,41108,39211.57,45548,902,1079,383.4,8.86,8.45,9.82,0.19,4639847425,,,,,,,,,,
Asia,Asia,6/19/2020,1821764,42860,40664.71,46498,950,1111,392.63,9.24,8.76,10.02,0.21,4639847425,,,,,,,,,,
Asia,Asia,6/20/2020,1863674,41910,41092.43,47378,880,1130.57,401.67,9.03,8.86,10.21,0.19,4639847425,,,,,,,,,,
Asia,Asia,6/21/2020,1903425,39751,40349.71,48333,955,1142.14,410.23,8.57,8.7,10.42,0.21,4639847425,,,,,,,,,,
Asia,Asia,6/22/2020,1943973,40548,40819.43,49134,801,1126.57,418.97,8.74,8.8,10.59,0.17,4639847425,,,,,,,,,,
Asia,Asia,6/23/2020,1986348,42375,41367.86,50093,959,902.29,428.11,9.13,8.92,10.8,0.21,4639847425,,,,,,,,,,
Asia,Asia,6/24/2020,2030239,43891,41777.57,51108,1015,923.14,437.57,9.46,9,11.02,0.22,4639847425,,,,,,,,,,
Asia,Asia,6/25/2020,2074505,44266,42228.71,52063,955,930.71,447.11,9.54,9.1,11.22,0.21,4639847425,,,,,,,,,,
Asia,Asia,6/28/2020,2214093,46970,44381.14,54823,875,927.14,477.19,10.12,9.57,11.82,0.19,4639847425,,,,,,,,,,
Asia,Asia,6/29/2020,2258551,44458,44939.71,55858,1035,960.57,486.77,9.58,9.69,12.04,0.22,4639847425,,,,,,,,,,
Asia,Asia,6/30/2020,2305204,46653,45550.86,56983,1125,984.29,496.83,10.06,9.82,12.28,0.24,4639847425,,,,,,,,,,
Asia,Asia,7/1/2020,2371987,66783,48821.14,57999,1016,984.43,511.22,14.39,10.52,12.5,0.22,4639847425,,,,,,,,,,
Asia,Asia,7/2/2020,2422565,50578,49722.86,58957,958,984.86,522.12,10.9,10.72,12.71,0.21,4639847425,,,,,,,,,,
Asia,Asia,7/4/2020,2527017,53774,51413.43,61042,1160,1013.43,544.63,11.59,11.08,13.16,0.25,4639847425,,,,,,,,,,
Asia,Asia,7/5/2020,2583149,56132,52722.29,62200,1158,1053.86,556.73,12.1,11.36,13.41,0.25,4639847425,,,,,,,,,,
Asia,Asia,7/6/2020,2633331,50182,53540,63362,1162,1072,567.55,10.82,11.54,13.66,0.25,4639847425,,,,,,,,,,
Asia,Asia,7/7/2020,2683438,50107,54033.43,64521,1159,1076.86,578.35,10.8,11.65,13.91,0.25,4639847425,,,,,,,,,,
Asia,Asia,7/8/2020,2737316,53878,52189.86,65569,1048,1081.43,589.96,11.61,11.25,14.13,0.23,4639847425,,,,,,,,,,
Asia,Asia,7/9/2020,2795194,57878,53232.71,66693,1124,1105.14,602.43,12.47,11.47,14.37,0.24,4639847425,,,,,,,,,,
Asia,Asia,7/10/2020,2851344,56150,54014.43,67774,1081,1127.43,614.53,12.1,11.64,14.61,0.23,4639847425,,,,,,,,,,
Asia,Asia,7/11/2020,2906749,55405,54247.43,68914,1140,1124.57,626.48,11.94,11.69,14.85,0.25,4639847425,,,,,,,,,,
Asia,Asia,7/12/2020,2961581,54832,54061.71,70359,1445,1165.57,638.29,11.82,11.65,15.16,0.31,4639847425,,,,,,,,,,
Asia,Asia,7/13/2020,3018122,56541,54970.14,71538,1179,1168,650.48,12.19,11.85,15.42,0.25,4639847425,,,,,,,,,,
Asia,Asia,7/14/2020,3073006,54884,55652.57,72697,1159,1168,662.31,11.83,11.99,15.67,0.25,4639847425,,,,,,,,,,
Asia,Asia,7/15/2020,3133820,60814,56643.43,73923,1226,1193.43,675.41,13.11,12.21,15.93,0.26,4639847425,,,,,,,,,,
Asia,Asia,7/16/2020,3194381,60561,57026.71,75203,1280,1215.71,688.47,13.05,12.29,16.21,0.28,4639847425,,,,,,,,,,
Asia,Asia,7/17/2020,3258468,64087,58160.57,76554,1351,1254.29,702.28,13.81,12.54,16.5,0.29,4639847425,,,,,,,,,,
Asia,Asia,7/18/2020,3332752,74284,60857.57,78473,1919,1365.57,718.29,16.01,13.12,16.91,0.41,4639847425,,,,,,,,,,
Asia,Asia,7/19/2020,3401206,68454,62803.57,79968,1495,1372.71,733.04,14.75,13.54,17.24,0.32,4639847425,,,,,,,,,,
Asia,Asia,7/20/2020,3462557,61351,63490.71,81371,1403,1404.71,746.27,13.22,13.68,17.54,0.3,4639847425,,,,,,,,,,
Asia,Asia,7/21/2020,3528132,65575,65018,82662,1291,1423.57,760.4,14.13,14.01,17.82,0.28,4639847425,,,,,,,,,,
Asia,Asia,7/22/2020,3599747,71615,66561,84488,1826,1509.29,775.83,15.44,14.35,18.21,0.39,4639847425,,,,,,,,,,
Asia,Asia,7/23/2020,3679586,79839,69315,86015,1527,1544.57,793.04,17.21,14.94,18.54,0.33,4639847425,,,,,,,,,,
Asia,Asia,7/24/2020,3754617,75031,70878.43,87354,1339,1542.86,809.21,16.17,15.28,18.83,0.29,4639847425,,,,,,,,,,
Asia,Asia,7/25/2020,3828958,74341,70886.57,88633,1279,1451.43,825.23,16.02,15.28,19.1,0.28,4639847425,,,,,,,,,,
Asia,Asia,7/26/2020,3901827,72869,71517.29,89949,1316,1425.86,840.94,15.71,15.41,19.39,0.28,4639847425,,,,,,,,,,
Asia,Asia,7/27/2020,3971064,69237,72643.86,91156,1207,1397.86,855.86,14.92,15.66,19.65,0.26,4639847425,,,,,,,,,,
Asia,Asia,7/28/2020,4049031,77967,74414.14,92710,1554,1435.43,872.67,16.8,16.04,19.98,0.34,4639847425,,,,,,,,,,
Asia,Asia,7/29/2020,4126946,77915,75314.14,94003,1293,1359.29,889.46,16.79,16.23,20.26,0.28,4639847425,,,,,,,,,,
Asia,Asia,7/30/2020,4208306,81360,75531.43,95374,1371,1337,906.99,17.54,16.28,20.56,0.3,4639847425,,,,,,,,,,
Asia,Asia,7/31/2020,4296518,88212,77414.43,96726,1352,1338.86,926,19.01,16.69,20.85,0.29,4639847425,,,,,,,,,,
Asia,Asia,8/1/2020,4373956,77438,77856.86,98074,1348,1348.71,942.69,16.69,16.78,21.14,0.29,4639847425,,,,,,,,,,
Asia,Asia,8/2/2020,4455690,81734,79123.29,99367,1293,1345.43,960.31,17.62,17.05,21.42,0.28,4639847425,,,,,,,,,,
Asia,Asia,8/3/2020,4530926,75236,79980.29,101025,1658,1409.86,976.53,16.22,17.24,21.77,0.36,4639847425,,,,,,,,,,
Asia,Asia,8/4/2020,4610248,79322,80173.86,102441,1416,1390.14,993.62,17.1,17.28,22.08,0.31,4639847425,,,,,,,,,,
Asia,Asia,8/5/2020,4696002,85754,81293.71,103915,1474,1416,1012.1,18.48,17.52,22.4,0.32,4639847425,,,,,,,,,,
Asia,Asia,8/6/2020,4786745,90743,82634.14,105309,1394,1419.29,1031.66,19.56,17.81,22.7,0.3,4639847425,,,,,,,,,,
Asia,Asia,8/7/2020,4877477,90732,82994.14,106740,1431,1430.57,1051.22,19.56,17.89,23.01,0.31,4639847425,,,,,,,,,,
Asia,Asia,8/8/2020,4968470,90993,84930.57,108089,1349,1430.71,1070.83,19.61,18.31,23.3,0.29,4639847425,,,,,,,,,,
Asia,Asia,8/9/2020,5055071,86601,85625.86,109637,1548,1467.14,1089.49,18.67,18.45,23.63,0.33,4639847425,,,,,,,,,,
Asia,Asia,8/10/2020,5136490,81419,86509.14,111340,1703,1473.57,1107.04,17.55,18.65,24,0.37,4639847425,,,,,,,,,,
Asia,Asia,8/11/2020,5222202,85712,87422,112698,1358,1465.29,1125.51,18.47,18.84,24.29,0.29,4639847425,,,,,,,,,,
Asia,Asia,8/12/2020,5317620,95418,88802.57,114255,1557,1477.14,1146.08,20.57,19.14,24.63,0.34,4639847425,,,,,,,,,,
Asia,Asia,8/13/2020,5410128,92508,89054.71,115760,1505,1493,1166.01,19.94,19.19,24.95,0.32,4639847425,,,,,,,,,,
Asia,Asia,8/14/2020,5504941,94813,89637.71,117233,1473,1499,1186.45,20.44,19.32,25.27,0.32,4639847425,,,,,,,,,,
Asia,Asia,8/15/2020,5596280,91339,89687.14,118830,1597,1534.43,1206.13,19.69,19.33,25.61,0.34,4639847425,,,,,,,,,,
Asia,Asia,8/16/2020,5680047,83767,89282.29,120322,1492,1526.43,1224.19,18.05,19.24,25.93,0.32,4639847425,,,,,,,,,,
Asia,Asia,8/17/2020,5757967,77920,88782.43,121687,1365,1478.14,1240.98,16.79,19.14,26.23,0.29,4639847425,,,,,,,,,,
Asia,Asia,8/18/2020,5851042,93075,89834.29,123462,1775,1537.71,1261.04,20.06,19.36,26.61,0.38,4639847425,,,,,,,,,,
Asia,Asia,8/19/2020,5949467,98425,90263.86,125046,1584,1541.57,1282.26,21.21,19.45,26.95,0.34,4639847425,,,,,,,,,,
Asia,Asia,8/20/2020,6046387,96920,90894.14,126595,1549,1547.86,1303.14,20.89,19.59,27.28,0.33,4639847425,,,,,,,,,,
Asia,Asia,8/21/2020,6143563,97176,91231.71,127604,1009,1481.57,1324.09,20.94,19.66,27.5,0.22,4639847425,,,,,,,,,,
Asia,Asia,8/22/2020,6238674,95111,91770.57,129021,1417,1455.86,1344.59,20.5,19.78,27.81,0.31,4639847425,,,,,,,,,,
Asia,Asia,8/23/2020,6322721,84047,91810.57,130358,1337,1433.71,1362.7,18.11,19.79,28.1,0.29,4639847425,,,,,,,,,,
Asia,Asia,8/24/2020,6409014,86293,93006.71,131836,1478,1449.86,1381.3,18.6,20.05,28.41,0.32,4639847425,,,,,,,,,,
Asia,Asia,8/25/2020,6491080,82066,91434,133335,1499,1410.43,1398.99,17.69,19.71,28.74,0.32,4639847425,,,,,,,,,,
Asia,Asia,8/26/2020,6604055,112975,93512.57,135017,1682,1424.43,1423.34,24.35,20.15,29.1,0.36,4639847425,,,,,,,,,,
Asia,Asia,8/28/2020,6811550,103903,95426.71,138253,1594,1521.29,1468.06,22.39,20.57,29.8,0.34,4639847425,,,,,,,,,,
Asia,Asia,8/29/2020,6916227,104677,96793.29,139742,1489,1531.57,1490.62,22.56,20.86,30.12,0.32,4639847425,,,,,,,,,,
Asia,Asia,8/30/2020,7019675,103448,99564.86,141291,1549,1561.86,1512.91,22.3,21.46,30.45,0.33,4639847425,,,,,,,,,,
Asia,Asia,8/31/2020,7113877,94202,100694.71,142607,1316,1538.71,1533.21,20.3,21.7,30.74,0.28,4639847425,,,,,,,,,,
Asia,Asia,9/1/2020,7217705,103828,103803.57,144198,1591,1551.86,1555.59,22.38,22.37,31.08,0.34,4639847425,,,,,,,,,,
Asia,Asia,9/2/2020,7328153,110448,103442.57,145864,1666,1549.57,1579.4,23.8,22.29,31.44,0.36,4639847425,,,,,,,,,,
Asia,Asia,9/3/2020,7439687,111534,104577.14,147555,1691,1556.57,1603.43,24.04,22.54,31.8,0.36,4639847425,,,,,,,,,,
Asia,Asia,9/5/2020,7670183,115186,107708,150771,1591,1575.57,1653.11,24.83,23.21,32.5,0.34,4639847425,,,,,,,,,,
Asia,Asia,9/7/2020,7888296,101108,110631.29,154064,1663,1636.71,1700.12,21.79,23.84,33.21,0.36,4639847425,,,,,,,,,,
Asia,Asia,9/8/2020,8006763,118467,112722.57,155735,1671,1648.14,1725.65,25.53,24.29,33.57,0.36,4639847425,,,,,,,,,,
Asia,Asia,9/9/2020,8132397,125634,114892,157546,1811,1668.86,1752.73,27.08,24.76,33.96,0.39,4639847425,,,,,,,,,,
Asia,Asia,9/10/2020,8260297,127900,117230,159375,1829,1688.57,1780.3,27.57,25.27,34.35,0.39,4639847425,,,,,,,,,,
Asia,Asia,9/11/2020,8389357,129060,119194.29,161085,1710,1700.71,1808.11,27.82,25.69,34.72,0.37,4639847425,,,,,,,,,,
Asia,Asia,9/12/2020,8513673,124316,120498.57,162865,1780,1727.71,1834.9,26.79,25.97,35.1,0.38,4639847425,,,,,,,,,,
Asia,Asia,9/13/2020,8634554,120881,121052.29,164576,1711,1739.29,1860.96,26.05,26.09,35.47,0.37,4639847425,,,,,,,,,,
Asia,Asia,9/14/2020,8750387,115833,123155.86,166478,1902,1773.43,1885.92,24.97,26.54,35.88,0.41,4639847425,,,,,,,,,,
Asia,Asia,9/15/2020,8872764,122377,123714.43,168376,1898,1805.86,1912.3,26.38,26.66,36.29,0.41,4639847425,,,,,,,,,,
Asia,Asia,9/16/2020,9003896,131132,124499.86,170256,1880,1815.71,1940.56,28.26,26.83,36.69,0.41,4639847425,,,,,,,,,,
Asia,Asia,9/17/2020,9133487,129591,124741.43,172097,1841,1817.43,1968.49,27.93,26.89,37.09,0.4,4639847425,,,,,,,,,,
Asia,Asia,9/18/2020,9260112,126625,124393.57,173950,1853,1837.86,1995.78,27.29,26.81,37.49,0.4,4639847425,,,,,,,,,,
Asia,Asia,9/19/2020,9383927,123815,124322,175755,1805,1841.43,2022.47,26.69,26.79,37.88,0.39,4639847425,,,,,,,,,,
Asia,Asia,9/20/2020,9501349,117422,123827.86,177532,1777,1850.86,2047.77,25.31,26.69,38.26,0.38,4639847425,,,,,,,,,,
Asia,Asia,9/21/2020,9607296,105947,122415.57,179224,1692,1820.86,2070.61,22.83,26.38,38.63,0.37,4639847425,,,,,,,,,,
Asia,Asia,9/22/2020,9724990,117694,121746.57,180978,1754,1800.29,2095.97,25.37,26.24,39.01,0.38,4639847425,,,,,,,,,,
Asia,Asia,9/23/2020,9848838,123848,120706,182829,1851,1796.14,2122.66,26.69,26.02,39.4,0.4,4639847425,,,,,,,,,,
Asia,Asia,9/24/2020,9972464,123626,119853.86,184612,1783,1787.86,2149.31,26.64,25.83,39.79,0.38,4639847425,,,,,,,,,,
Asia,Asia,9/25/2020,10094975,122511,119266.14,186382,1770,1776,2175.71,26.4,25.71,40.17,0.38,4639847425,,,,,,,,,,
Asia,Asia,9/26/2020,10216931,121956,119000.57,188169,1787,1773.43,2202,26.28,25.65,40.56,0.39,4639847425,,,,,,,,,,
Asia,Asia,9/27/2020,10330314,113383,118423.57,189874,1705,1763.14,2226.43,24.44,25.52,40.92,0.37,4639847425,,,,,,,,,,
Asia,Asia,9/28/2020,10428832,98518,117362.29,191298,1424,1724.86,2247.67,21.23,25.29,41.23,0.31,4639847425,,,,,,,,,,
Asia,Asia,9/29/2020,10542963,114131,116853.29,193220,1922,1748.86,2272.27,24.6,25.19,41.64,0.41,4639847425,,,,,,,,,,
Asia,Asia,9/30/2020,10668654,125691,117116.57,195117,1897,1755.43,2299.35,27.09,25.24,42.05,0.41,4639847425,,,,,,,,,,
Asia,Asia,10/1/2020,10788124,119470,116522.86,196894,1777,1754.57,2325.1,25.75,25.11,42.44,0.38,4639847425,,,,,,,,,,
Asia,Asia,10/2/2020,10905127,117003,115736,198651,1757,1752.71,2350.32,25.22,24.94,42.81,0.38,4639847425,,,,,,,,,,
Asia,Asia,10/3/2020,11012665,107538,113676.29,200205,1554,1719.43,2373.5,23.18,24.5,43.15,0.34,4639847425,,,,,,,,,,
Asia,Asia,10/6/2020,11326772,108624,111972.71,205173,1711,1707.57,2441.2,23.41,24.13,44.22,0.37,4639847425,,,,,,,,,,
Asia,Asia,10/7/2020,11443561,116789,110701,206913,1740,1685.14,2466.37,25.17,23.86,44.6,0.38,4639847425,,,,,,,,,,
Asia,Asia,10/8/2020,11552422,108861,109185.43,208708,1795,1687.71,2489.83,23.46,23.53,44.98,0.39,4639847425,,,,,,,,,,
Asia,Asia,10/9/2020,11659576,107154,107778.43,210361,1653,1672.86,2512.92,23.09,23.23,45.34,0.36,4639847425,,,,,,,,,,
Asia,Asia,10/12/2020,11956970,90422,105546,214994,1406,1647.43,2577.02,19.49,22.75,46.34,0.3,4639847425,,,,,,,,,,
Asia,Asia,10/13/2020,12056751,99781,104282.71,216466,1472,1613.29,2598.52,21.51,22.48,46.65,0.32,4639847425,,,,,,,,,,
Asia,Asia,10/14/2020,12161535,104784,102567.71,218013,1547,1585.71,2621.11,22.58,22.11,46.99,0.33,4639847425,,,,,,,,,,
Asia,Asia,10/15/2020,12263375,101840,101564.71,219675,1662,1566.71,2643.06,21.95,21.89,47.35,0.36,4639847425,,,,,,,,,,
Asia,Asia,10/16/2020,12364045,100670,100638.43,221267,1592,1558,2664.75,21.7,21.69,47.69,0.34,4639847425,,,,,,,,,,
Asia,Asia,10/17/2020,12460581,96536,98987.14,223064,1797,1584,2685.56,20.81,21.33,48.08,0.39,4639847425,,,,,,,,,,
Asia,Asia,10/18/2020,12551918,91337,97910,224401,1337,1544.71,2705.24,19.69,21.1,48.36,0.29,4639847425,,,,,,,,,,
Asia,Asia,10/19/2020,12634255,82337,96755,225845,1444,1550.14,2722.99,17.75,20.85,48.68,0.31,4639847425,,,,,,,,,,
Asia,Asia,10/20/2020,12725049,90794,95471.14,227371,1526,1557.86,2742.56,19.57,20.58,49,0.33,4639847425,,,,,,,,,,
Asia,Asia,10/22/2020,12920629,97135,93893.43,230511,1532,1548,2784.71,20.94,20.24,49.68,0.33,4639847425,,,,,,,,,,
Asia,Asia,10/23/2020,13018153,97524,93444,232100,1589,1547.57,2805.73,21.02,20.14,50.02,0.34,4639847425,,,,,,,,,,
Asia,Asia,10/24/2020,13106871,88718,92327.14,233498,1398,1490.57,2824.85,19.12,19.9,50.32,0.3,4639847425,,,,,,,,,,
Asia,Asia,10/25/2020,13191996,85125,91439.71,234794,1296,1484.71,2843.2,18.35,19.71,50.6,0.28,4639847425,,,,,,,,,,
Asia,Asia,10/26/2020,13264641,72645,90055.14,236179,1385,1476.29,2858.85,15.66,19.41,50.9,0.3,4639847425,,,,,,,,,,
Asia,Asia,10/27/2020,13349414,84773,89195,237559,1380,1455.43,2877.12,18.27,19.22,51.2,0.3,4639847425,,,,,,,,,,
Asia,Asia,10/28/2020,13442588,93174,88442,239051,1492,1438.86,2897.21,20.08,19.06,51.52,0.32,4639847425,,,,,,,,,,
Asia,Asia,10/29/2020,13535791,93203,87880.29,240526,1475,1430.71,2917.29,20.09,18.94,51.84,0.32,4639847425,,,,,,,,,,
Asia,Asia,10/30/2020,13627793,92002,87091.43,241923,1397,1403.29,2937.12,19.83,18.77,52.14,0.3,4639847425,,,,,,,,,,
Asia,Asia,10/31/2020,13714627,86834,86822.29,243328,1405,1404.29,2955.84,18.72,18.71,52.44,0.3,4639847425,,,,,,,,,,
Asia,Asia,11/1/2020,13802128,87501,87161.71,244761,1433,1423.86,2974.69,18.86,18.79,52.75,0.31,4639847425,,,,,,,,,,
Asia,Asia,11/2/2020,13885290,83162,88664.14,246233,1472,1436.29,2992.62,17.92,19.11,53.07,0.32,4639847425,,,,,,,,,,
Asia,Asia,11/3/2020,13978280,92990,89838,247803,1570,1463.43,3012.66,20.04,19.36,53.41,0.34,4639847425,,,,,,,,,,
Asia,Asia,11/4/2020,14075510,97230,90417.43,249549,1746,1499.71,3033.62,20.96,19.49,53.78,0.38,4639847425,,,,,,,,,,
Asia,Asia,11/6/2020,14273605,101563,92258.86,252757,1588,1547.71,3076.31,21.89,19.88,54.48,0.34,4639847425,,,,,,,,,,
Asia,Asia,11/7/2020,14367339,93734,93244.57,254234,1477,1558,3096.51,20.2,20.1,54.79,0.32,4639847425,,,,,,,,,,
Asia,Asia,11/8/2020,14462146,94807,94288.29,255725,1491,1566.29,3116.94,20.43,20.32,55.12,0.32,4639847425,,,,,,,,,,
Asia,Asia,11/9/2020,14547743,85597,94636.14,257261,1536,1575.43,3135.39,18.45,20.4,55.45,0.33,4639847425,,,,,,,,,,